"timestamp","city","population","country","latitude","longitude","temperature","temp_min","temp_max","pressure","humidity","visibility","wind_speed","wind_degree","rain(1h)","rain(3h)","snow(1h)","snow(3h)","weather_id","weather_group","description","cloudiness","sunrise","sunset","air_quality_index","co","no","no2","o3","so2","nh3","pm2_5","pm10"
"2024-02-13 14:47:52","Leeds","455123","GB","53.79648","-1.54785","8.580000000000041","7.560000000000002","8.939999999999998","1006","80","10000","3.6","200","0","0","0","0","803","Clouds","broken clouds","75","2024-02-13 07:31:16","2024-02-13 17:09:46","2.0","236.99","0.17","9.17","77.96","2.38","0.79","0.67","0.9"
"2024-02-13 15:00:37","Leeds","455123","GB","53.79648","-1.54785","8.78000000000003","7.560000000000002","9.82000000000005","1006","77","10000","3.6","200","0","0","0","0","803","Clouds","broken clouds","75","2024-02-13 07:31:16","2024-02-13 17:09:46","2.0","236.99","0.17","9.17","77.96","2.38","0.79","0.67","0.9"
"2024-02-13 16:00:36","Leeds","455123","GB","53.79648","-1.54785","8.410000000000025","7.560000000000002","9.260000000000048","1006","80","10000","2.57","190","0","0","0","0","802","Clouds","scattered clouds","40","2024-02-13 07:31:16","2024-02-13 17:09:46","2.0","240.33","0.09","13.02","70.1","2.8","0.82","0.94","1.17"
"2024-02-13 17:00:36","Leeds","455123","GB","53.79648","-1.54785","8.210000000000036","7.560000000000002","8.82000000000005","1005","83","10000","3.09","140","0","0","0","0","803","Clouds","broken clouds","75","2024-02-13 07:31:16","2024-02-13 17:09:46","1.0","250.34","0.03","22.96","52.21","4.05","0.93","1.75","2.05"
"2024-02-13 18:00:35","Leeds","455123","GB","53.79648","-1.54785","7.960000000000036","7.420000000000016","8.270000000000039","1005","86","10000","2.57","150","0","0","0","0","803","Clouds","broken clouds","75","2024-02-13 07:31:16","2024-02-13 17:09:46","1.0","263.69","0.03","32.9","37.19","5.07","0.93","2.82","3.18"
"2024-02-13 19:00:39","Leeds","455123","GB","53.79648","-1.54785","7.340000000000032","6.75","8.390000000000043","1005","91","10000","2.57","140","0","0","0","0","803","Clouds","broken clouds","75","2024-02-13 07:31:18","2024-02-13 17:09:46","1.0","267.03","0.06","35.64","31.83","5.19","0.94","3.39","3.79"
"2024-02-13 20:00:37","Leeds","455123","GB","53.79648","-1.54785","7.360000000000014","6.800000000000011","8.439999999999998","1004","94","3500","2.06","120","0","0","0","0","300","Drizzle","light intensity drizzle","75","2024-02-13 07:31:16","2024-02-13 17:09:45","1.0","267.03","0.05","34.27","31.11","5.19","0.97","4.02","4.45"
"2024-02-13 21:00:40","Leeds","455123","GB","53.79648","-1.54785","7.350000000000023","6.800000000000011","8.439999999999998","1005","94","600","1.54","100","0","0","0","0","300","Drizzle","light intensity drizzle","100","2024-02-13 07:31:16","2024-02-13 17:09:45","1.0","267.03","0.05","33.24","30.04","5.25","0.97","4.8","5.24"
"2024-02-13 22:00:38","Leeds","455123","GB","53.79648","-1.54785","7.740000000000009","7.160000000000025","8.29000000000002","1005","94","200","1.54","160","0","0","0","0","741","Fog","fog","100","2024-02-13 07:31:18","2024-02-13 17:09:47","1.0","273.71","0.12","35.3","24.68","5.42","1.09","5.69","6.2"
"2024-02-13 23:00:35","Leeds","455123","GB","53.79648","-1.54785","7.350000000000023","6.75","7.990000000000009","1005","97","500","0.51","0","0","0","0","0","741","Fog","fog","100","2024-02-13 07:31:19","2024-02-13 17:09:46","1.0","280.38","0.35","38.39","16.99","5.07","1.28","6.34","6.91"
